CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constrain_word_report
3662,SUNBEAM CORP/FL/,199905,1999-05-17,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000584.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3662,SUNBEAM CORP/FL/,199906,1999-06-11,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001005.txt,0.0,0.0,0.0,13.865546218487395,0.43676767676767675,5.720925558102029,2162.0,4950.0,162.0,39.0,0.0,0.0,0.03272727272727273,0.00787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3662,SUNBEAM CORP/FL/,199908,1999-08-16,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001074.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3662,SUNBEAM CORP/FL/,199908,1999-08-19,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001361.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000889812-99-003241.txt,0.0,0.0,0.0,10.88926255104492,0.4458219359392923,4.534033794793685,20210.0,45332.0,956.0,471.0,0.0,0.0,0.021088855554575136,0.010390011470925616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001639.txt,0.0,0.0,0.0,12.199127906976743,0.42475872751102106,5.049554653795106,3565.0,8393.0,245.0,81.0,0.0,0.0,0.029190992493744787,0.00965089955915644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001640.txt,0.0,0.0,0.0,13.649480415667465,0.4341893355977863,5.633467900506101,14828.0,34151.0,862.0,394.0,0.0,0.0,0.025240842142250593,0.01153699745249041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
3662,SUNBEAM CORP/FL/,199911,1999-11-15,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001626.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3662,SUNBEAM CORP/FL/,199911,1999-11-19,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001856.txt,0.0,0.0,0.0,12.544080604534004,0.4458835341365462,5.19598565546822,4441.0,9960.0,280.0,92.0,0.0,0.0,0.028112449799196786,0.009236947791164659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
3982,ALLIS CHALMERS ENERGY INC.,200603,2006-03-22,10-K,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-002926.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-01,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-004690.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-10,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-005244.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007243.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
